x,y,z,gene
524,1641,101,bc2
534,1640,101,bc2
535,1633,101,bc2
530,1622,102,bc2
527,1618,104,bc2
531,1686,154,bc2
536,1689,154,bc2
551,1683,155,bc2
535,1694,155,bc2
511,1857,165,bc2
499,1845,172,bc2
605,1760,179,bc2
523,1711,200,bc2
411,2012,161,bc2
410,2020,163,bc2
425,2035,168,bc2
937,1226,105,bc2
925,1226,106,bc2
926,1218,106,bc2
952,1231,107,bc2
961,1241,106,bc2
918,1225,107,bc2
933,1237,107,bc2
927,1209,108,bc2
946,1214,108,bc2
891,1282,109,bc2
902,1256,109,bc2
928,1197,109,bc2
949,1244,110,bc2
967,1226,109,bc2
882,1259,110,bc2
888,1254,110,bc2
891,1252,110,bc2
912,1254,110,bc2
936,1280,110,bc2
974,1239,110,bc2
902,1222,111,bc2
913,1227,111,bc2
912,1259,111,bc2
920,1240,111,bc2
924,1234,111,bc2
925,1256,111,bc2
941,1223,112,bc2
945,1250,111,bc2
959,1215,111,bc2
964,1199,111,bc2
890,1267,113,bc2
896,1215,112,bc2
898,1252,112,bc2
901,1228,112,bc2
915,1237,112,bc2
918,1190,113,bc2
917,1232,112,bc2
923,1224,112,bc2
923,1220,112,bc2
929,1277,112,bc2
930,1243,112,bc2
945,1280,112,bc2
949,1217,112,bc2
952,1233,112,bc2
956,1234,112,bc2
960,1249,112,bc2
969,1254,112,bc2
986,1272,112,bc2
885,1230,113,bc2
890,1284,113,bc2
899,1203,113,bc2
904,1215,113,bc2
906,1236,113,bc2
910,1171,113,bc2
912,1220,113,bc2
912,1240,113,bc2
913,1251,113,bc2
917,1266,113,bc2
918,1227,113,bc2
920,1210,113,bc2
921,1201,113,bc2
922,1250,113,bc2
926,1261,113,bc2
927,1226,113,bc2
928,1239,113,bc2
929,1214,113,bc2
929,1259,116,bc2
930,1208,113,bc2
936,1233,113,bc2
936,1241,113,bc2
938,1206,113,bc2
938,1256,113,bc2
944,1210,113,bc2
944,1267,113,bc2
948,1210,113,bc2
949,1204,113,bc2
957,1238,113,bc2
972,1200,113,bc2
880,1215,115,bc2
894,1205,114,bc2
905,1272,114,bc2
911,1211,114,bc2
912,1230,114,bc2
917,1234,114,bc2
921,1237,114,bc2
930,1173,115,bc2
929,1233,114,bc2
939,1202,114,bc2
938,1211,114,bc2
949,1219,114,bc2
952,1245,114,bc2
956,1229,114,bc2
959,1224,114,bc2
961,1254,114,bc2
961,1259,114,bc2
962,1247,114,bc2
963,1241,114,bc2
974,1245,114,bc2
872,1229,115,bc2
881,1233,115,bc2
886,1258,115,bc2
898,1220,115,bc2
904,1204,115,bc2
909,1260,115,bc2
909,1290,115,bc2
915,1257,115,bc2
920,1244,116,bc2
922,1216,115,bc2
923,1211,115,bc2
926,1177,115,bc2
929,1218,115,bc2
931,1201,115,bc2
932,1211,115,bc2
934,1249,115,bc2
936,1268,115,bc2
952,1276,116,bc2
960,1187,115,bc2
961,1236,115,bc2
971,1276,115,bc2
873,1246,116,bc2
873,1252,116,bc2
876,1227,116,bc2
877,1262,116,bc2
883,1244,116,bc2
885,1229,116,bc2
887,1250,116,bc2
898,1238,117,bc2
895,1229,117,bc2
898,1187,116,bc2
900,1214,116,bc2
911,1205,116,bc2
911,1222,116,bc2
917,1176,116,bc2
918,1275,116,bc2
922,1220,116,bc2
924,1291,116,bc2
928,1185,116,bc2
930,1223,116,bc2
934,1275,116,bc2
939,1219,117,bc2
953,1268,116,bc2
950,1248,119,bc2
959,1229,116,bc2
964,1210,116,bc2
966,1235,116,bc2
967,1204,116,bc2
967,1207,116,bc2
968,1242,116,bc2
