cell_id,x,y,z,nearest_twin_id,morphological_distance
1,104,14,213,20,1272.6019842849971
2,208,51,197,625,1851.418797314129
3,224,6,171,336,2009.2908559421244
4,5,35,73,190,940.657762126983
5,543,44,182,16,1082.8077571316496
6,180,89,49,168,747.0327349918607
7,308,101,152,626,1151.7694613462022
8,155,170,132,609,2615.5758492698556
9,615,157,203,357,2617.128485842773
10,227,166,86,35,852.4817167544761
11,42,181,73,610,1410.4973284814691
12,25,182,210,31,1277.0625576030366
13,635,213,121,358,1435.6300662119634
14,245,229,123,175,1908.7052716595058
15,335,244,151,180,1365.556882808364
16,122,298,188,159,718.6660866159194
17,515,308,42,181,948.3338609903861
18,560,309,157,495,1496.9562507566204
19,455,324,104,35,1378.940497418548
20,6,320,80,1,1272.6019842849971
21,175,425,64,312,3049.3548766504996
22,318,364,43,123,1661.830718264749
23,20,372,43,489,939.4178579655871
24,36,376,135,198,1827.8469018400133
25,468,397,190,176,897.971777569725
26,224,455,115,603,2491.010723136096
27,602,452,120,50,1004.9329446817438
28,481,478,134,176,1312.3425985076988
29,77,568,117,475,1142.058316405685
30,594,543,204,60,1372.9720289438187
31,32,578,184,184,970.3844488249499
32,567,599,53,437,1146.6316202779005
33,676,590,214,51,1412.4551972248678
34,447,640,40,608,1534.403816897419
35,210,662,107,10,852.4817167544761
36,561,672,206,27,1177.562037299469
37,442,680,224,176,109.4411953887698
38,815,11,87,526,2095.964445412658
39,1035,9,163,41,1569.1011761843042
40,1120,21,46,524,1403.8199655434853
41,1218,7,75,39,1569.1011761843042
42,1170,57,183,189,1876.47309008231
43,1317,52,68,133,2886.055804272577
44,760,86,198,495,1392.8226149881145
45,1016,80,142,68,1265.569661870158
46,1359,103,48,116,302.57076257913883
47,1133,98,105,64,1156.8268749834697
48,1156,115,154,522,1492.4007622311651
49,973,127,53,32,1338.6915100272745
50,746,127,96,27,1004.9329446817438
51,1085,107,216,191,1077.2107418044363
52,1229,145,151,93,1629.3737830887587
53,941,160,107,191,786.5899324409821
54,1086,161,32,65,1381.4511781068209
55,1314,183,138,69,1374.0959606616293
56,864,182,65,51,1369.7120813259448
57,737,170,172,50,1347.2459586081475
58,1334,188,33,85,2042.9768903213278
59,1104,190,139,74,1158.6805884550242
60,914,181,213,497,990.4491047001923
61,1210,218,117,79,1275.583745194893
62,1210,230,68,364,995.5566202923529
63,1331,249,76,584,2251.2496160653013
64,1051,252,185,68,978.8541695742681
65,783,266,131,32,1198.671025386725
66,1016,320,77,506,2429.3345548305606
67,805,289,219,193,1657.033120181981
68,932,288,157,359,888.476063231529
69,1251,306,125,90,1230.296455741014
70,1197,360,69,137,1956.1939920614645
71,1097,347,151,522,1406.7510827977414
72,1322,366,75,551,1979.5386431667762
73,1217,371,214,356,1622.3138778282841
74,954,356,116,59,1158.6805884550242
75,824,383,137,365,2231.7073984586627
76,895,419,64,334,1031.79883084188
77,892,424,172,92,1513.9610237250035
78,1288,456,100,235,1805.1164833439443
79,979,443,54,61,1275.583745194893
80,1098,467,119,356,1719.236059184168
81,780,485,114,365,1788.6306604939973
82,848,445,32,77,1776.7840674837503
83,1022,451,188,218,1382.6492727100308
84,719,482,192,64,1564.6556115786652
85,1193,476,30,46,1821.3894458332584
86,1350,499,48,553,2067.971116255288
87,1184,516,111,546,1351.3537383156888
88,1249,524,50,262,1483.2263769184362
89,1133,525,70,478,1238.6477052164448
90,1080,527,157,69,1230.296455741014
91,880,568,59,491,1503.0404583365305
92,786,555,228,77,1513.9610237250035
93,1016,546,200,61,1534.367652113338
94,1227,567,152,360,1346.0130738328426
95,968,575,119,334,846.0711986677256
96,1309,566,111,543,1299.1693637607955
97,1254,618,70,220,1450.1409262436594
98,1094,614,184,344,1370.293629612603
99,797,636,64,334,1371.92340750551
100,772,629,122,453,1058.0761216534793
101,1059,664,79,281,2638.9537564428133
102,1086,628,142,276,968.840716062864
103,1324,668,61,152,1648.0317120092645
104,1247,666,140,272,2349.910488032136
105,1381,20,43,106,2021.8259678686018
106,1399,16,125,105,2021.8259678686018
107,1508,3,79,106,3180.139275656813
108,1646,16,64,592,2912.4650603343957
109,1796,36,39,591,3991.681872245657
110,1899,47,56,523,2395.44723167229
111,1926,75,138,30,1488.0644654436035
112,1556,65,103,555,2314.0460497478093
113,1822,71,116,130,1424.6961734721685
114,1738,74,102,584,1508.010514148849
115,1743,79,51,344,1681.4205563611179
116,1363,102,48,46,302.57076257913883
117,1541,131,84,577,1782.8673453309718
118,1810,121,234,138,2110.725243818385
119,1664,116,83,585,1880.8218433457291
120,1432,144,69,576,1563.456102001812
121,1898,151,44,189,984.6632784675608
122,1513,144,33,512,1470.7476365142434
123,2007,163,68,155,1040.7459888193684
124,1635,177,46,276,2064.809950344147
125,1886,210,162,351,1673.5666606790903
126,1690,218,171,577,1836.7924394891377
127,1617,214,82,119,1915.2381292112289
128,1719,215,62,88,2392.885094639095
129,1434,268,86,224,2600.5938628018976
130,1814,240,86,443,1396.2308065763907
131,1924,280,30,342,1638.0564063219304
132,1682,291,120,152,1835.840546894874
133,1852,283,133,113,2020.5866372057176
134,1443,380,46,532,2162.735113109693
135,1546,387,87,548,2236.376381499143
136,1666,373,52,390,2811.182184353187
137,1826,403,82,70,1956.1939920614645
138,1875,391,191,351,1945.434755633488
139,1772,384,33,331,1893.2305982497783
140,2008,398,52,333,2048.5877203316054
141,1618,402,120,153,1347.2518454201843
142,1411,414,140,530,1744.7760166872786
143,1365,451,154,142,1898.6487481363313
144,1393,451,98,228,1379.4236918975892
145,1750,454,123,115,1825.7543025575994
146,1451,472,147,442,2059.182037283798
147,1612,532,115,283,1923.5562696923778
148,1580,507,39,546,1156.4883983933212
149,1813,566,58,206,2950.067192016309
150,1707,560,69,551,1636.2504504397884
151,1375,574,69,231,1199.7059642109189
152,1454,575,92,240,1463.3864447725568
153,1473,566,137,141,1347.2518454201843
154,1509,622,33,208,1439.289587965697
155,1833,653,199,123,1040.7459888193684
156,1413,661,94,244,1434.8213732320626
157,1754,672,29,225,2454.202639149128
158,2125,58,154,159,631.420394055986
159,2192,93,95,158,631.420394055986
160,2513,158,117,624,765.234818862452
161,2385,193,57,619,572.433781225435
162,2676,223,45,473,1133.044727752429
163,2048,223,188,180,1061.2306724818864
164,2684,266,198,170,932.2522894084758
165,2252,282,98,166,683.4062415857836
166,2188,312,183,165,683.4062415857836
167,2409,344,36,165,697.8843601104883
168,2153,380,98,6,747.0327349918607
169,2703,422,107,170,862.9825103592108
170,2696,439,207,316,853.5969145595062
171,2341,503,223,318,916.6307196866969
172,2716,512,24,633,915.3579078547347
173,2480,621,100,472,821.0456524146509
174,2702,676,31,314,798.2252042133674
175,420,686,157,14,1908.7052716595058
176,442,683,224,37,109.4411953887698
177,668,718,147,64,1297.5892698024395
178,499,729,162,347,1395.8102809267252
179,500,751,84,297,1197.900875787995
180,298,770,196,6,817.4803692012626
181,261,792,65,17,948.3338609903861
182,602,792,155,68,889.8592462116645
183,33,844,70,617,2263.470777717242
184,14,857,162,31,970.3844488249499
185,596,868,111,49,1526.623623690862
186,401,904,98,337,2508.55184498511
187,294,885,178,451,1436.9060850699889
188,181,983,116,22,2222.83023291696
189,597,1004,131,121,984.6632784675608
190,7,1005,111,4,940.657762126983
191,641,1035,231,53,786.5899324409821
192,228,1062,109,22,1680.3899078239333
193,466,1088,172,505,1452.7728261494376
194,227,1105,57,27,1460.9160435668837
195,661,1161,180,443,1871.0754584577521
196,590,1158,63,338,2195.181043944938
197,101,1160,118,327,1266.7525117419348
198,15,1179,80,184,1361.2323335951287
199,414,1179,200,60,1346.2079289213705
200,532,1201,119,47,1370.3676277490108
201,22,1289,111,486,1004.2809009117145
202,473,1275,188,520,1349.5148938283128
203,221,1291,204,35,1020.1280608705907
204,627,1301,159,503,1670.476286880388
205,427,1305,64,131,1755.002586918334
206,509,1348,133,149,2950.067192016309
207,1024,688,100,564,1540.8390102594938
208,1213,702,35,154,1439.289587965697
209,1344,721,125,213,1796.449857011186
